transaction_date,aisle,product_name,quantity,unit_price,total_amount,,,,,,,,,
2023-09-28,Snacks & Candy,Potatoes,3,17.32,51.96,,,,,,,,,
2023-09-28,Bakery,Salmon,1,24.39,24.39,,,,,,,,,
2023-09-28,Frozen Foods,Chicken Breast,2,18.57,37.14,,,,,,,,,
2023-09-28,Bakery,Bread,5,1.69,8.45,,,,,,,,,
2023-09-29,Canned Goods,Chicken Breast,5,15.7,78.5,,,,,,,,,
2023-09-29,Frozen Foods,Yogurt,1,27.74,27.74,,,,,,,,,
2023-09-29,Meat & Seafood,Yogurt,2,17.84,35.68,,,,,,,,,
2023-09-29,Frozen Foods,Yogurt,1,1.63,1.63,,,,,,,,,
2023-09-29,Frozen Foods,Potatoes,1,6.34,6.34,,,,,,,,,
2023-09-29,Frozen Foods,Eggs,3,25.58,76.74,,,,,,,,,
2023-09-30,Beverages,Cereal,4,11.11,44.44,,,,,,,,,
2023-09-30,Produce,Potatoes,4,15.86,63.44,,,,,,,,,
2023-10-01,Dairy,Pasta,4,10.85,43.4,,,,,,,,,
2023-10-01,Snacks & Candy,Cereal,3,8.55,25.65,,,,,,,,,
2023-10-01,Frozen Foods,Eggs,1,12.11,12.11,,,,,,,,,
2023-10-01,Canned Goods,Tomatoes,3,4.49,13.47,,,,,,,,,
2023-10-02,Personal Care,Carrots,2,27.26,54.52,,,,,,,,,
2023-10-02,Beverages,Salmon,5,2.12,10.6,,,,,,,,,
2023-10-03,Frozen Foods,Onions,3,26.45,79.35,,,,,,,,,
2023-10-03,Household Items,Milk,1,17.56,17.56,,,,,,,,,
2023-10-03,Dairy,Milk,3.0,17.65,52.95,,,,,,,,,
2023-10-03,Bakery,Potatoes,1,27.71,27.71,,,,,,,,,
2023-10-03,Snacks & Candy,Ground Beef,2,8.9,17.8,,,,,,,,,
2023-10-04,Health & Wellness,Cheese,2,18.55,37.1,,,,,,,,,
2023-10-04,Household Items,Rice,5,14.11,70.55,,,,,,,,,
2023-10-04,Bakery,Apples,4,10.34,41.36,,,,,,,,,
2023-10-04,Produce,Milk,4,13.53,54.12,,,,,,,,,
2023-10-04,Canned Goods,Orange Juice,4,14.06,56.24,,,,,,,,,
2023-10-05,Bakery,Bread,1,5.05,5.05,,,,,,,,,
2023-10-05,Snacks & Candy,Potatoes,1,14.11,14.11,,,,,,,,,
2023-10-05,Beverages,Rice,5,20.33,101.65,,,,,,,,,
2023-10-05,Frozen Foods,Eggs,4,4.12,16.48,,,,,,,,,
2023-10-06,Bakery,Eggs,4,27.93,111.72,,,,,,,,,
2023-10-06,Bakery,Milk,2,8.8,17.6,,,,,,,,,
2023-10-07,Personal Care,Salmon,2,13.22,26.44,,,,,,,,,
2023-10-07,Meat & Seafood,Bread,5,2.96,14.8,,,,,,,,,
2023-10-07,Bakery,Rice,1,12.56,12.56,,,,,,,,,
2023-10-07,Personal Care,Chicken Breast,1,25.4,25.4,,,,,,,,,
2023-10-07,Frozen Foods,Orange Juice,5,9.48,47.4,,,,,,,,,
2023-10-08,Personal Care,Tomatoes,4,6.38,25.52,,,,,,,,,
2023-10-08,Dairy,Eggs,4,25.01,100.04,,,,,,,,,
2023-10-09,Frozen Foods,Cereal,5,1.66,8.3,,,,,,,,,
2023-10-09,Bakery,Eggs,5,11.9,59.5,,,,,,,,,
2023-10-10,Frozen Foods,Pasta,1,29.96,29.96,,,,,,,,,
2023-10-10,Beverages,Cheese,3,7.62,22.86,,,,,,,,,
2023-10-10,Household Items,Yogurt,5,11.53,57.65,,,,,,,,,
2023-10-11,Personal Care,Cereal,5,12.26,61.3,,,,,,,,,
2023-10-12,Frozen Foods,Bananas,5,4.66,23.3,,,,,,,,,
2023-10-12,Meat & Seafood,Yogurt,4,11.78,47.12,,,,,,,,,
2023-10-12,Produce,Cereal,3,10.01,30.03,,,,,,,,,
2023-10-12,Canned Goods,Bread,2,22.08,44.16,,,,,,,,,
2023-10-12,Frozen Foods,Ground Beef,1,20.24,20.24,,,,,,,,,
2023-10-13,Canned Goods,Orange Juice,5,8.66,43.3,,,,,,,,,
2023-10-13,Meat & Seafood,Ground Beef,1,8.75,8.75,,,,,,,,,
2023-10-13,Snacks & Candy,Tomatoes,4,13.32,53.28,,,,,,,,,
2023-10-13,Meat & Seafood,Ground Beef,4,6.45,25.8,,,,,,,,,
2023-10-14,Bakery,Cereal,2,23.58,47.16,,,,,,,,,
2023-10-14,Bakery,Bananas,5,18.81,94.05,,,,,,,,,
2023-10-15,Frozen Foods,Yogurt,2,11.89,23.78,,,,,,,,,
2023-10-15,Snacks & Candy,Yogurt,4,9.97,39.88,,,,,,,,,
2023-10-16,Personal Care,Potatoes,4,26.2,104.8,,,,,,,,,
2023-10-16,Beverages,Bananas,2,3.61,7.22,,,,,,,,,
2023-10-16,Produce,Orange Juice,5,7.91,39.55,,,,,,,,,
2023-10-16,Beverages,Cereal,2,28.08,56.16,,,,,,,,,
2023-10-16,Health & Wellness,Potatoes,1,15.49,15.49,,,,,,,,,
2023-10-17,Snacks & Candy,Carrots,3,7.83,23.49,,,,,,,,,
2023-10-17,Frozen Foods,Cereal,4,12.4,49.6,,,,,,,,,
2023-10-17,Produce,Potatoes,5,5.89,29.45,,,,,,,,,
2023-10-17,Canned Goods,Rice,1,19.71,19.71,,,,,,,,,
2023-10-17,Household Items,Tomatoes,4,12.38,49.52,,,,,,,,,
2023-10-17,Bakery,Carrots,3,15.41,46.23,,,,,,,,,
2023-10-18,Produce,Ground Beef,3,29.56,88.68,,,,,,,,,
2023-10-18,Frozen Foods,Cheese,1,5.04,5.04,,,,,,,,,
2023-10-18,Frozen Foods,Cheese,2,23.29,46.58,,,,,,,,,
2023-10-18,Snacks & Candy,Yogurt,5,8.22,41.1,,,,,,,,,
2023-10-18,Dairy,Orange Juice,4.0,7.96,31.84,,,,,,,,,
2023-10-18,Produce,Potatoes,1,4.06,4.06,,,,,,,,,
2023-10-18,Beverages,Chicken Breast,5,4.93,24.65,,,,,,,,,
2023-10-18,Personal Care,Pasta,1,23.32,23.32,,,,,,,,,
2023-10-18,Beverages,Bananas,4,12.15,48.6,,,,,,,,,
2023-10-18,Personal Care,Onions,3,22.47,67.41,,,,,,,,,
2023-10-18,Snacks & Candy,Cereal,4,29.53,118.12,,,,,,,,,
2023-10-19,Dairy,Chicken Breast,2,27.77,55.54,,,,,,,,,
2023-10-19,Dairy,Cheese,4,1.96,7.84,,,,,,,,,
2023-10-21,Personal Care,Milk,5,2.97,14.85,,,,,,,,,
2023-10-21,Meat & Seafood,Salmon,5,11.3,56.5,,,,,,,,,
2023-10-21,Canned Goods,Ground Beef,2,3.64,7.28,,,,,,,,,
2023-10-21,Meat & Seafood,Bread,5,3.73,18.65,,,,,,,,,
2023-10-22,Health & Wellness,Onions,3,1.13,3.39,,,,,,,,,
2023-10-23,Personal Care,Tomatoes,5,29.1,145.5,,,,,,,,,
2023-10-23,Snacks & Candy,Carrots,1,8.4,8.4,,,,,,,,,
2023-10-23,Health & Wellness,Salmon,5,26.97,134.85,,,,,,,,,
2023-10-24,Meat & Seafood,Salmon,1,24.17,24.17,,,,,,,,,
2023-10-24,Produce,Apples,2,28.49,56.98,,,,,,,,,
2023-10-25,Personal Care,Eggs,2,20.12,40.24,,,,,,,,,
2023-10-25,Canned Goods,Eggs,2,9.02,18.04,,,,,,,,,
2023-10-25,Dairy,Orange Juice,5,13,65,,,,,,,,,
2023-10-25,Bakery,Cheese,1,17.3,17.3,,,,,,,,,
2023-10-25,Health & Wellness,Orange Juice,4,12.63,50.52,,,,,,,,,
2023-10-26,Frozen Foods,Potatoes,5,29.6,148,,,,,,,,,
2023-10-26,Household Items,Carrots,4,5.17,20.68,,,,,,,,,
2023-10-26,Canned Goods,Pasta,4,4.45,17.8,,,,,,,,,
2023-10-27,Frozen Foods,Apples,1,1.36,1.36,,,,,,,,,
2023-10-27,Household Items,Carrots,4,20.89,83.56,,,,,,,,,
2023-10-28,Beverages,Salmon,1,12.04,12.04,,,,,,,,,
2023-10-28,Frozen Foods,Potatoes,4,24.1,96.4,,,,,,,,,
2023-10-28,Frozen Foods,Bread,2,7.84,15.68,,,,,,,,,
2023-10-29,Snacks & Candy,Cheese,5,4.99,24.95,,,,,,,,,
2023-10-30,Dairy,Rice,1,28.38,28.38,,,,,,,,,
2023-10-30,Household Items,Cheese,4,14.72,58.88,,,,,,,,,
2023-10-31,Snacks & Candy,Bananas,3,28.55,85.65,,,,,,,,,
2023-11-01,Frozen Foods,Bread,4,1.55,6.2,,,,,,,,,
2023-11-01,Beverages,Onions,5,10.96,54.8,,,,,,,,,
2023-11-01,Produce,Tomatoes,3,8.35,25.05,,,,,,,,,
2023-11-02,Frozen Foods,Onions,3,13.7,41.1,,,,,,,,,
2023-11-02,Meat & Seafood,Onions,3,5.84,17.52,,,,,,,,,
2023-11-03,Personal Care,Cereal,3,16.06,48.18,,,,,,,,,
2023-11-03,Frozen Foods,Cheese,3,8.45,25.35,,,,,,,,,
2023-11-04,Produce,Tomatoes,1,17.53,17.53,,,,,,,,,
2023-11-04,Beverages,Bananas,3,10.6,31.8,,,,,,,,,
2023-11-04,Canned Goods,Onions,1,1.01,1.01,,,,,,,,,
2023-11-05,Personal Care,Carrots,5,17.54,87.7,,,,,,,,,
2023-11-05,Canned Goods,Potatoes,2,15.15,30.3,,,,,,,,,
2023-11-05,Personal Care,Orange Juice,4,21.64,86.56,,,,,,,,,
2023-11-05,Snacks & Candy,Pasta,2,1.8,3.6,,,,,,,,,
2023-11-05,Snacks & Candy,Potatoes,4,14.82,59.28,,,,,,,,,
2023-11-07,Bakery,Eggs,3,29.24,87.72,,,,,,,,,
2023-11-07,Dairy,Salmon,5,17.85,89.25,,,,,,,,,
2023-11-07,Meat & Seafood,Chicken Breast,2,28.88,57.76,,,,,,,,,
2023-11-07,Snacks & Candy,Ground Beef,2,28.38,56.76,,,,,,,,,
2023-11-08,Canned Goods,Eggs,2,22.23,44.46,,,,,,,,,
2023-11-08,Household Items,Ground Beef,4,12.26,49.04,,,,,,,,,
2023-11-09,Household Items,Pasta,1,10.58,10.58,,,,,,,,,
2023-11-09,Personal Care,Salmon,5,27.85,139.25,,,,,,,,,
2023-11-09,Canned Goods,Potatoes,2,17.1,34.2,,,,,,,,,
2023-11-09,Dairy,Eggs,1,27.64,27.64,,,,,,,,,
2023-11-09,Produce,Apples,1,17.53,17.53,,,,,,,,,
2023-11-10,Personal Care,Bread,2,23.4,46.8,,,,,,,,,
2023-11-12,Produce,Ground Beef,2,14.52,29.04,,,,,,,,,
2023-11-12,Dairy,Chicken Breast,1,11.44,11.44,,,,,,,,,
2023-11-13,Beverages,Eggs,1,11.45,11.45,,,,,,,,,
2023-11-13,Bakery,Bread,5,19.65,98.25,,,,,,,,,
2023-11-13,Frozen Foods,Milk,5,27.2,136,,,,,,,,,
2023-11-13,Meat & Seafood,Orange Juice,3,17.01,51.03,,,,,,,,,
2023-11-14,Dairy,Ground Beef,1,17.17,17.17,,,,,,,,,
2023-11-14,Dairy,Chicken Breast,5,23.51,117.55,,,,,,,,,
2023-11-15,Canned Goods,Bread,4,4.88,19.52,,,,,,,,,
2023-11-15,Produce,Bread,2,25.52,51.04,,,,,,,,,
2023-11-16,Produce,Ground Beef,2,5.26,10.52,,,,,,,,,
2023-11-17,Snacks & Candy,Tomatoes,2,15.35,30.7,,,,,,,,,
2023-11-17,Frozen Foods,Tomatoes,1,4.53,4.53,,,,,,,,,
2023-11-17,Meat & Seafood,Salmon,5,15.2,76,,,,,,,,,
2023-11-17,Dairy,Ground Beef,4,18.83,75.32,,,,,,,,,
2023-11-18,Produce,Yogurt,1,7.06,7.06,,,,,,,,,
2023-11-18,Dairy,Bananas,5,28.03,140.15,,,,,,,,,
2023-11-18,Snacks & Candy,Onions,5,29.94,149.7,,,,,,,,,
2023-11-19,Produce,Salmon,2,8.73,17.46,,,,,,,,,
2023-11-20,Beverages,Apples,3,27.63,82.89,,,,,,,,,
2023-11-20,Snacks & Candy,Chicken Breast,2,22.67,45.34,,,,,,,,,
2023-11-20,Bakery,Potatoes,3,2.06,6.18,,,,,,,,,
2023-11-20,Beverages,Yogurt,3,27.88,83.64,,,,,,,,,
2023-11-20,Meat & Seafood,Cheese,2,6.05,12.1,,,,,,,,,
2023-11-20,Household Items,Cereal,5,19.34,96.7,,,,,,,,,
2023-11-21,Health & Wellness,Tomatoes,3,14.79,44.37,,,,,,,,,
2023-11-21,Household Items,Chicken Breast,1,21.83,21.83,,,,,,,,,
2023-11-21,Frozen Foods,Rice,4,9.5,38,,,,,,,,,
2023-11-21,Household Items,Pasta,4,19.29,77.16,,,,,,,,,
2023-11-21,Bakery,Ground Beef,5,23.43,117.15,,,,,,,,,
2023-11-22,Beverages,Cheese,5,6.63,33.15,,,,,,,,,
2023-11-23,Bakery,Onions,4,7.38,29.52,,,,,,,,,
2023-11-23,Health & Wellness,Tomatoes,2,18.84,37.68,,,,,,,,,
2023-11-23,Produce,Cereal,1,19.37,19.37,,,,,,,,,
2023-11-23,Household Items,Orange Juice,3,27.03,81.09,,,,,,,,,
2023-11-23,Snacks & Candy,Apples,1,10.01,10.01,,,,,,,,,
2023-11-23,Dairy,Eggs,5,9.77,48.85,,,,,,,,,
2023-11-23,Beverages,Chicken Breast,5,3.63,18.15,,,,,,,,,
2023-11-24,Personal Care,Rice,5,21.2,106,,,,,,,,,
2023-11-25,Personal Care,Rice,4,10.45,41.8,,,,,,,,,
2023-11-28,Personal Care,Pasta,5,24.57,122.85,,,,,,,,,
2023-11-28,Produce,Chicken Breast,4,11.59,46.36,,,,,,,,,
2023-11-28,Snacks & Candy,Potatoes,5,21.96,109.8,,,,,,,,,
2023-11-29,Beverages,Onions,4,16.42,65.68,,,,,,,,,
2023-11-29,Snacks & Candy,Potatoes,2,28.93,57.86,,,,,,,,,
2023-11-29,Personal Care,Tomatoes,1,4.79,4.79,,,,,,,,,
2023-11-30,Canned Goods,Salmon,5,20.89,104.45,,,,,,,,,
2023-11-30,Canned Goods,Ground Beef,5,29.53,147.65,,,,,,,,,
2023-12-01,Beverages,Milk,3,5.67,17.01,,,,,,,,,
2023-12-01,Beverages,Apples,1,23.11,23.11,,,,,,,,,
2023-12-02,Bakery,Bread,1,8.76,8.76,,,,,,,,,
2023-12-02,Household Items,Potatoes,1,5.98,5.98,,,,,,,,,
2023-12-02,Health & Wellness,Onions,2,14.73,29.46,,,,,,,,,
2023-12-02,Produce,Pasta,4,6.2,24.8,,,,,,,,,
2023-12-03,Snacks & Candy,Onions,4,27.01,108.04,,,,,,,,,
2023-12-03,Household Items,Pasta,3,25.69,77.07,,,,,,,,,
2023-12-04,Beverages,Chicken Breast,5,20.57,102.85,,,,,,,,,
2023-12-04,Frozen Foods,Potatoes,2,15.04,30.08,,,,,,,,,
2023-12-05,Personal Care,Bananas,5,10.39,51.95,,,,,,,,,
2023-12-05,Personal Care,Chicken Breast,1,14.8,14.8,,,,,,,,,
2023-12-05,Meat & Seafood,Carrots,4,1.33,5.32,,,,,,,,,
2023-12-05,Snacks & Candy,Bread,4,26.53,106.12,,,,,,,,,
2023-12-06,Bakery,Salmon,3,20.63,61.89,,,,,,,,,
2023-12-06,Beverages,Bread,3,29.65,88.95,,,,,,,,,
2023-12-07,Canned Goods,Eggs,4,2.94,11.76,,,,,,,,,
2023-12-07,Personal Care,Eggs,1,14.06,14.06,,,,,,,,,
2023-12-07,Beverages,Cheese,2,13.14,26.28,,,,,,,,,
2023-12-07,Canned Goods,Rice,4,18.77,75.08,,,,,,,,,
2023-12-08,Frozen Foods,Salmon,1,10.4,10.4,,,,,,,,,
2023-12-09,Meat & Seafood,Ground Beef,4,13.13,52.52,,,,,,,,,
2023-12-10,Household Items,Onions,1,19.32,19.32,,,,,,,,,
2023-12-10,Personal Care,Potatoes,4,14.73,58.92,,,,,,,,,
2023-12-11,Dairy,Onions,2,15.66,31.32,,,,,,,,,
2023-12-11,Personal Care,Cheese,5,1.27,6.35,,,,,,,,,
2023-12-11,Beverages,Chicken Breast,4,9.51,38.04,,,,,,,,,
2023-12-12,Dairy,Salmon,1,20.21,20.21,,,,,,,,,
2023-12-12,Meat & Seafood,Milk,2,21.3,42.6,,,,,,,,,
2023-12-12,Frozen Foods,Onions,2,22.44,44.88,,,,,,,,,
2023-12-13,Produce,Rice,3,14.21,42.63,,,,,,,,,
2023-12-13,Meat & Seafood,Onions,3,28.68,86.04,,,,,,,,,
2023-12-14,Dairy,Chicken Breast,2,26.72,53.44,,,,,,,,,
2023-12-14,Personal Care,Chicken Breast,2,14.2,28.4,,,,,,,,,
2023-12-14,Snacks & Candy,Rice,3,25.19,75.57,,,,,,,,,
2023-12-14,Dairy,Cheese,4,23.44,93.76,,,,,,,,,
2023-12-14,Produce,Pasta,4,10.72,42.88,,,,,,,,,
2023-12-15,Health & Wellness,Rice,2,26.35,52.7,,,,,,,,,
2023-12-15,Personal Care,Yogurt,2,18.9,37.8,,,,,,,,,
2023-12-15,Produce,Tomatoes,4,12.6,50.4,,,,,,,,,
2023-12-15,Personal Care,Potatoes,4,22.96,91.84,,,,,,,,,
2023-12-16,Meat & Seafood,Orange Juice,5,25.81,129.05,,,,,,,,,
2023-12-16,Personal Care,Carrots,2,12.08,24.16,,,,,,,,,
2023-12-16,Dairy,Salmon,2,17.75,35.5,,,,,,,,,
2023-12-17,Health & Wellness,Ground Beef,3,12.95,38.85,,,,,,,,,
2023-12-17,Canned Goods,Bread,3,25.52,76.56,,,,,,,,,
2023-12-17,Frozen Foods,Apples,1,16.88,16.88,,,,,,,,,
2023-12-20,Health & Wellness,Orange Juice,5,19.76,98.8,,,,,,,,,
2023-12-21,Meat & Seafood,Milk,3,23.48,70.44,,,,,,,,,
2023-12-21,Bakery,Carrots,4,28.25,113,,,,,,,,,
2023-12-21,Meat & Seafood,Rice,1,9.98,9.98,,,,,,,,,
2023-12-22,Beverages,Potatoes,5,16.26,81.3,,,,,,,,,
2023-12-22,Beverages,Bananas,3,3.25,9.75,,,,,,,,,
2023-12-23,Personal Care,Salmon,5,9.1,45.5,,,,,,,,,
2023-12-24,Household Items,Milk,2,12.04,24.08,,,,,,,,,
2023-12-24,Snacks & Candy,Milk,3,8.94,26.82,,,,,,,,,
2023-12-24,Bakery,Chicken Breast,1,12.34,12.34,,,,,,,,,
2023-12-24,Health & Wellness,Ground Beef,5,18.66,93.3,,,,,,,,,
2023-12-25,Personal Care,Carrots,5,3.75,18.75,,,,,,,,,
